###❝Корень эсперанто❞,❝(полностью тот же) корень эсперанто❞   в строке означает、что хотя он имеет тот же приоритет、что и соответствующая строка замены、на практике замена строки (иероглифов) не выполняется.
Корень эсперанто##,руби с японским переводом##
adiaŭ,прощай
bis,бис
hura,ура!
ŭa,уа!
kia,какой
tia,такой
ĉia,всякий
kies,чей
nenia,никакой
ali,иной
alt,высокий
bel,красивый
bon,хороший
jun,молодой
nov,новый
sam,тот же
fort,сильный
grav,важный
kelk,несколько
last,последний
long,длинный
mult,много
plen,полный
riĉ,богатый
ruĝ,красный
facil,легкий
grand,большой
liber,свободный
rapid,быстрый
feliĉ,счастливый
proksim,близкий
fru,рано
pur,чистый
sol,единственный
ver,истинный
cert,уверен
nigr,чёрный
varm,тёплый
afabl,дружелюбный
blank,белый
dolĉ,сладкий
neces,необходимый
propr,собств.
simpl,простой
dekstr,правый
kuraĝ,смелый
trankvil,спокойный
blu,синий
dik,толстый
gaj,весёлый
hel,яркий
kar,дорогой
lac,усталый
san,здоровый
sat,сыт
just,справедливый
prav,правильный
pret,готовый
util,полезный
verd,зелёный
apart,отдельный
atent,внимательный
fremd,чужой
ĝust,правильный
komun,общий
larĝ,широкий
agrabl,приятный
divers,разный
intern,внутренний
sufiĉ,достаточный
kontent,доволен
profund,глубокий
mol,мягкий
pez,тяжёлый
sek,сухой
brun,коричневый
egal,равный
flav,жёлтый
griz,серый
kulp,виновный
lert,умелый
rekt,прямой
saĝ,мудрый
vast,широкий
ceter,остальной
freŝ,свежий
simil,похожий
kapabl,способный
serioz,серьёзный
efektiv,реальный
ordinar,обычный
akr,острый
fam,известный
ies,чей-то
avar,жадный
dens,густой
eben,ровный
fier,гордый
firm,твердый
nepr,непременно
plat,плоский
plur,много
surd,глухой
vigl,живой
fidel,верный
kviet,спокойный
matur,зрелый
sankt,святой
spert,опытный
subit,внезапный
taŭg,подходящий
honest,честный
konven,подходящий
plur,много
preciz,точный
strang,странный
delikat,нежный
ĝentil,вежливый
komfort,удобный
pacienc,терпеливый
special,особый
ĝeneral,общий
konstant,постоянный
lam,хромой
mut,немой
nud,голый
pal,бледный
ruz,хитрый
van,тщетный
acid,кислый
glat,гладкий
kler,образованный
krud,сырой
mild,мягкий
abund,обильный
blind,слепой
blond,блондин
ĉarm,очаровательный
etern,вечный
favor,благоприятный
graci,изящный
humil,смиренный
laŭt,громкий
sever,строгий
stult,глупый
fortik,крепкий
frenez,сумасшедший
kurioz,странный
privat,частный
sincer,искренний
evident,очевидный
oportun,удобный
prudent,благоразумный
sci/vol##,sci/vol##
diligent,усердный
proksim/um##,proksim/um##
ard,пылающий
avid,жадный
brav,смелый
ebri,пьян
krut,крутой
naiv,наивный
nobl,благородный
sobr,умеренный
humid,влажный
ident,идентичный
komik,смешной
kripl,калека
kruel,жестокий
moder,умеренный
sagac,проницательный
seren,спокойный
sprit,остроумный
akurat,точный
fervor,рьяный
inklin,склонный
ĵaluz,ревнивый
kapric,капризный
modern,современный
modest,скромный
nenies,ничей
normal,нормальный
sovaĝ,дикий
ekstrem,крайний
elegant,элегантный
eminent,выдающийся
komplet,полный
oficial,официальный
perfekt,идеальный
probabl,вероятный
reciprok,взаимный
indiferent,безразличный
inteligent,умный
amar,горький
imun,устойчивый
real,реальный
ties,того
unik,уникальный
vant,тщеславный
virg,девственный
aktiv,активный
civil,гражданский
ĉies,всех
elast,упругий
human,гуманный
intim,близкий
kaduk,дряхлый
koket,кокетливый
lojal,верный
malic,злобный
mir/ind##,mir/ind##
raŭk,хриплый
rigid,жёсткий
sekur,безопасный
solen,торжественный
tener,нежный
valid,действительный
abrupt,резкий
absurd,абсурдный
aktual,актуальный
arbitr,произвольный
aŭdac,смелый
ekzakt,точный
furioz,яростный
graved,беременная
klasik,классический
majest,величественный
nervoz,нервный
oblikv,наклонный
obstin,упрямый
plen/aĝ##,plen/aĝ##
social,социальный
subtil,тонкий
tragik,трагичный
absolut,абсолютный
kontant,наличный
popular,популярный
relativ,относительный
sin/don##,sin/don##
solidar,солидарный
vegetar,вегетарианский
familiar,близкий
grandioz,величественный
kolektiv,коллективный
sin/gard##,sin/gard##
kompetent,компетентный
universal,всеобщий
kvit,свободный
miop,близорукий
punc,алый
ranc,прогорклый
ĉast,целомудренный
ekstr,дополнительный
masiv,массивный
antikv,древний
arogant,высокомерный
konform,соответствующий
trivial,пустяковый
elokvent,красноречивый
kriminal,преступный
predikat,сказуемое
akut,острый
dual,двойной
hirt,торчащий
kalv,лысый
banal,банальный
cinik,циничный
gotik,готический
inert,инертный
obtuz,тупой
okult,оккультный
pasiv,пассивный
rigor,строгий
stoik,стойкий
analog,аналогичный
anonim,анонимный
arkaik,устаревший
diafan,прозрачный
efemer,мимолётный
erotik,эротический
fiktiv,вымышленный
formal,формальный
frivol,легкомысленный
intens,интенсивный
invers,обратный
konciz,краткий
konkav,вогнутый
mistik,мистический
neŭtr,нейтр.
vulgar,грубый
akcesor,второстепенный
apokrif,апокрифический
arĥaik,архаичный
burlesk,бурлескный
decimal,десятичный
diskret,сдержанный
fanatik,фанатичный
grotesk,гротескный
konkret,конкретный
kontinu,непрерывный
liberal,либеральный
monoton,монотонный
negativ,отрицательный
nominal,номинальный
pozitiv,положительный
radikal,радикальный
skeptik,скептичный
solvent,платежеспособный
abstrakt,абстрактный
aŭtonom,автономный
eventual,возможный
inkluziv,включающий
neŭtral,нейтральный
objektiv,объективный
ortodoks,ортодоксальный
primitiv,примитивный
provizor,временный
racional,рациональный
romantik,романтичный
sinoptik,обзорный
spontane,спонтанный
aŭtentik,подлинный
definitiv,окончательный
ekskluziv,исключительный
korelativ,корреляторный
respektiv,соответствующий
subjektiv,субъективный
transitiv,переходный
spekulativ,спекулятивный
impertinent,наглый
konservativ,консервативный
sentimental,сентиментальный
dek,десять
mil,тысяча
sep,семь
ses,шесть
tri,три
unu,один
cent,сто
kvar,четыре
kvin,пять
naŭ,девять
aŭ,или
nek,ни
sed,но
kvankam,хотя
plus,плюс
minus,минус
ĉe,у
kun,с вместе
per,через
pri,о
pro,из-за
sen,без
sub,под
sur,на
tra,через
apud,рядом
krom,кроме
laŭ,согласно
post,после
inter,между
super,над
trans,через
antaŭ,перед
ekster,вне
preter,мимо
